expo_cond,group_comp,timepoint,gene,baseMean,padj,log2FoldChange
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Dynlt3_30548,555.677802082993,0.00127956752662536,-1.08864303844965
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gulp1_29299,398.119693055761,0.00128058904501715,-1.16863812311026
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Nde1_77231,89.2598633291971,0.00128421814048302,1.39052774189343
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gm13212_64546,116.352332781974,0.00129015633795131,-1.28368245762481
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Atad5_73477,39.8760003762882,0.00129758897323772,-1.16692643490459
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Mt2_76492,678.262224058761,0.00134776148082807,1.56445910976756
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Dnajc21_65430,88.7670505322538,0.00138614437222639,-1.26758956494259
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ndufaf1_54702,469.754351467741,0.00144273445729658,-1.01724192045017
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Osgin1_79857,56.6508873524011,0.00150026509574872,1.06953256129459
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Lmod2_64472,432.211001744592,0.00154770078419315,2.51911282644268
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Smu1_59606,188.340586286459,0.00154770078419315,-1.04490253442066
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ppig_79520,79.0644433812092,0.00155656378823709,-1.17183439143443
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Pxn_76487,75.269214194423,0.00160289000363312,1.09666947643415
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Snx6_79798,365.184866991107,0.00161738504090664,-1.00201024276289
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Nckap1_57651,693.531047718378,0.00162308050118538,-1.0238782819747
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp39_58512,87.3440233485443,0.00163270079196088,-1.14272172818881
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Slc7a11_30093,16.666291297953,0.00167547693644031,2.51983177265633
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rnf125_32252,74.7523085835047,0.00181185795354159,-1.17029678371565
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Art1_56953,494.811390137042,0.00181290955053067,2.60811632006498
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cic_68510,36.5472045119118,0.00182395364437454,1.11472965858074
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Selenop_78781,2663.13971951359,0.00194397690532254,-1.18662605259193
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp974_73183,89.4022504418524,0.00194397690532254,-1.15915803575845
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,AW554918_57114,178.42342926965,0.0019761411579254,-1.1126246171488
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Xrcc5_30134,63.3511592806464,0.0019761411579254,-1.21154258911408
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Il16_77991,84.5804192322041,0.00202033058594036,-1.17547930675576
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Itgax_79287,214.516400279609,0.00207818215184817,-1.13526733909066
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Lgals2_59528,22.6055056514687,0.00215431586930467,-2.9405479632106
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ccnd1_31337,236.982615129259,0.00217230095395779,1.04135118720532
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tmem5_68217,563.384822730665,0.00217230095395779,-1.27205012389154
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fosl1_30439,15.2324685482144,0.00256061956258261,2.76700567834105
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Socs3_79479,98.7012862918926,0.00256061956258261,1.13537156743261
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tfdp2_75238,92.4020525845115,0.00275622131310566,-1.3137201959016
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Selenbp2_80761,820.783124896128,0.00276528781704667,1.131526663607
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Chpt1_73742,137.630041537996,0.00281978917483325,-1.25959238410191
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Nkain4_82157,25.9817701585807,0.00284549345383362,-2.25757888421336
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Grrp1_59421,73.771123035,0.002847667881608,1.16007117669919
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Slc12a2_59320,437.72473011855,0.00302653713545115,-1.19703732246757
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Angptl2_64658,46.4263761031581,0.00305114797296096,1.07491730245763
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Flot2_73523,29.3918150826128,0.00309585959630867,1.04758456736817
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Esco1_77722,362.352669285933,0.00310807900397069,-1.1306018708567
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp157_82106,59.8276679120195,0.00314253907314527,-1.03784113369496
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Socs3_31487,174.32518831271,0.00334294929057156,1.18161139808102
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Sec22a_54488,257.517477025184,0.0035223955043925,-1.01549582365524
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Stab1_67351,79.7458146948432,0.00352967476732857,1.13464398185576
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Vwf_30926,45.6136037989452,0.00355932788218169,1.20074137798636
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cyfip2_73223,39.1147272523597,0.00360968572584654,1.4877461962971399
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tnfrsf9_66723,73.6779653412883,0.00366281432531662,2.03143768365046
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Vps33b_78095,28.7642905705503,0.00389315209558015,1.06083639289947
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gap43_70845,35.9034172988913,0.00392931117520021,-1.64809562041352
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Naca_78337,2027.09386819966,0.00392931117520021,-1.01706806609716
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Srxn1_75314,11.6286915010195,0.00418128577808493,1.67128390470342
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tnip1_29881,23.6340569855959,0.00418128577808493,1.4575200929582
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Bcl3_75627,18.5068238960684,0.00418714316580721,1.56388233512167
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp977_55962,15.4076677545287,0.00418714316580721,-1.60986406062565
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cfhr2_77124,560.85169133044,0.00424951560643367,-1.12632532076333
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Chm_54071,196.10819056086,0.00424951560643367,-1.09923989628921
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Mettl1_72193,24.85023466529,0.00426460627361492,1.2862068752025
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Thoc2_80770,66.3167789696779,0.00427751801241933,-1.24971452911392
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Mical3_79456,30.8750355012681,0.00434461209996653,1.15535876617676
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Klc2_60520,30.5549777610086,0.00444795710430769,1.23173267845632
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hmox1_31505,40.386392271458,0.00472327161794491,1.44803297573078
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpx1_30525,25.2325674656991,0.00479240885917385,-1.37110908122815
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tmf1_58334,305.664271730195,0.00481523882887559,-1.02117907527203
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cdk5rap2_70953,17.0484565337032,0.00487963008516202,-1.30253994596624
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Chil3_30648,2354.05017909462,0.00487963008516202,-1.59775786182691
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Bdkrb2_54168,10.4606265134452,0.00496050660460966,1.77606928317525
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,2310061I04Rik_71692,25.0230793739837,0.00497997995482485,1.87849602094202
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Klhdc2_30951,173.040348347576,0.00501687412410345,-1.33725008320101
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cklf_66245,61.795477170538,0.0051760909232213,-1.14074941022328
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arf1_31811,851.174092573208,0.00570965891896003,5.49544375970773
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Trappc13_57582,145.721639283206,0.00579873048325743,-1.25975633222851
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Fam76b_71997,13.2334363208434,0.00582531636172642,-1.94838642435371
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Hint3_54352,710.921395996886,0.00596563151328955,-1.40656224637372
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp81_81993,56.1617838443883,0.00596563151328955,-1.11123794417367
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,1190002N15Rik_55292,52.3200013743872,0.00598482196244387,-1.01296176692878
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,1810022K09Rik_78572,221.434870628801,0.00598482196244387,-1.24824946701891
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Srp54a_80612,184.702067824951,0.00609947961649629,-1.2046429905093
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Usmg5_29632,3073.2884984461,0.00618974146181248,-1.05141450213314
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp703_79982,43.605953043978,0.00634864880931184,1.1036622504456
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ccdc186_58520,82.3921742218491,0.00657733071877033,-1.2853533113695499
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Lamp2_75380,730.7209254087,0.00659779382884423,-1.03934761620526
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp280b_78252,23.3428067343883,0.0066069846039097,1.11762179345896
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Gpc3_60688,1017.3574169324,0.00684956471489834,-1.08478684408373
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ptprc_67392,433.820008595287,0.00684956471489834,-1.11794062441525
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Sulf1_73848,114.533022185514,0.00685413996901651,-1.56141958423229
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Igkv16-104_74538,18.7772433500136,0.00686049968342542,2.50286994978753
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Arntl_59197,43.4942032633615,0.00711179637713795,-1.71113734715602
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp280d_66629,41.8663525642601,0.00758192240140985,-1.29225875263828
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp820_56096,26.9902586710375,0.00760665931073707,-1.34053923218991
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Prim2_56868,21.8404426307703,0.00766720002348495,-1.17727254935136
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Cpt1b_31741,401.021441497327,0.00776023371427873,1.46143542737587
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Slc35f3_61620,10.6266670146364,0.00792461517868821,-1.60219643596527
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ate1_68840,93.0159931674003,0.00815289156212289,-1.46747374028561
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Rpl26_72694,1176.16753083853,0.00815670611884674,-1.03349645384733
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Tjp1_79252,44.9311897529614,0.0081702814688264,-1.20266897446654
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Il18_31667,141.376769767006,0.00821092692288324,-1.56374402873874
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Zfp719_60805,39.4529315354096,0.00821092692288324,-1.19649564685522
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Syce2_75594,19.7499710085114,0.0084585249983805,-1.52169797029532
